Category,Reference,Verse Text,Suggested CTA
Healing,Jeremiah 30:17,"But I will restore you to health and heal your wounds, declares the Lord.",Claim Restoration Now
Healing,James 5:15,"And the prayer offered in faith will make the sick person well; the Lord will raise them up.",Pray For Healing
Healing,Psalm 103:2-3,"Praise the Lord, my soul, and forget not all his benefits—who forgives all your sins and heals all your diseases.",Remember His Benefits
Healing,3 John 1:2,"Dear friend, I pray that you may enjoy good health and that all may go well with you, even as your soul is getting along well.",Prosper In Health
Healing,Exodus 15:26,"He said, 'If you listen carefully to the Lord your God and do what is right in his eyes, if you pay attention to his commands and keep all his decrees, I will not bring on you any of the diseases I brought on the Egyptians, for I am the Lord, who heals you.'",Trust The Healer
Healing,Psalm 147:3,"He heals the brokenhearted and binds up their wounds.",Find Emotional Healing
Healing,Matthew 9:35,"Jesus went through all the towns and villages, teaching in their synagogues, proclaiming the good news of the kingdom and healing every disease and sickness.",Follow The Healer
Healing,Malachi 4:2,"But for you who revere my name, the sun of righteousness will rise with healing in its rays. And you will go out and frolic like well-fed calves.",Rise With Healing
Healing,1 Peter 2:24,"He himself bore our sins in his body on the cross, so that we might die to sins and live for righteousness; by his wounds you have been healed.",Live In Righteousness
Prosperity,Jeremiah 29:11,"For I know the plans I have for you, declares the Lord, plans to prosper you and not to harm you, plans to give you hope and a future.",Discover Your Future
Prosperity,Deuteronomy 8:18,"But remember the Lord your God, for it is he who gives you the ability to produce wealth, and so confirms his covenant, which he swore to your ancestors, as it is today.",Unlock Your Potential
Prosperity,Philippians 4:19,"And my God will meet all your needs according to the riches of his glory in Christ Jesus.",Have Your Needs Met
Prosperity,Malachi 3:10,"Bring the whole tithe into the storehouse, that there may be food in my house. Test me in this, says the Lord Almighty, and see if I will not throw open the floodgates of heaven and pour out so much blessing that there will not be room enough to store it.",Open The Floodgates
Prosperity,Proverbs 10:22,"The blessing of the Lord brings wealth, without painful toil for it.",Receive The Blessing
Prosperity,3 John 1:2,"Beloved, I pray that you may prosper in all things and be in health, just as your soul prospers.",Prosper In All Things
Prosperity,Psalm 1:3,"That person is like a tree planted by streams of water, which yields its fruit in season and whose leaf does not wither—whatever they do prospers.",Plant Yourself Today
Prosperity,Joshua 1:8,"Keep this Book of the Law always on your lips; meditate on it day and night, so that you may be careful to do everything written in it. Then you will be prosperous and successful.",Meditate For Success
Prosperity,Proverbs 11:25,"A generous person will prosper; whoever refreshes others will be refreshed.",Give Generously
Prosperity,Deuteronomy 28:12,"The Lord will open the heavens, the storehouse of his bounty, to send rain on your land in season and to bless all the work of your hands.",Bless Your Work
Peace,John 14:27,"Peace I leave with you; my peace I give you. I do not give to you as the world gives. Do not let your hearts be troubled and do not be afraid.",Receive His Peace
Peace,Philippians 4:6-7,"Do not be anxious about anything, but in every situation, by prayer and petition, with thanksgiving, present your requests to God. And the peace of God, which transcends all understanding, will guard your hearts and your minds in Christ Jesus.",Find Peace Today
Peace,Isaiah 26:3,"You will keep in perfect peace those whose minds are steadfast, because they trust in you.",Experience Perfect Peace
Peace,Psalm 29:11,"The Lord gives strength to his people; the Lord blesses his people with peace.",Be Blessed With Peace
Peace,Romans 15:13,"May the God of hope fill you with all joy and peace as you trust in him, so that you may overflow with hope by the power of the Holy Spirit.",Overflow With Hope
Peace,Colossians 3:15,"Let the peace of Christ rule in your hearts, since as members of one body you were called to peace. And be thankful.",Let Peace Rule
Peace,Matthew 11:28-29,"Come to me, all you who are weary and burdened, and I will give you rest. Take my yoke upon you and learn from me, for I am gentle and humble in heart, and you will find rest for your souls.",Find Rest Today
Peace,Psalm 46:10,"He says, 'Be still, and know that I am God; I will be exalted among the nations, I will be exalted in the earth.'",Be Still And Know
Peace,2 Thessalonians 3:16,"Now may the Lord of peace himself give you peace at all times and in every way. The Lord be with all of you.",Peace At All Times
Peace,Numbers 6:26,"The Lord turn his face toward you and give you peace.",Receive His Blessing
Love,1 John 4:8,"Whoever does not love does not know God, because God is love.",Know God's Love
Love,Romans 8:38-39,"For I am convinced that neither death nor life, neither angels nor demons, neither the present nor the future, nor any powers, neither height nor depth, nor anything else in all creation, will be able to separate us from the love of God that is in Christ Jesus our Lord.",Nothing Separates You
Love,1 Corinthians 13:4-5,"Love is patient, love is kind. It does not envy, it does not boast, it is not proud. It does not dishonor others, it is not self-seeking, it is not easily angered, it keeps no record of wrongs.",Learn True Love
Love,John 15:13,"Greater love has no one than this: to lay down one's life for one's friends.",Experience Greater Love
Love,1 John 4:19,"We love because he first loved us.",Love Because He Loved
Love,Ephesians 3:17-19,"So that Christ may dwell in your hearts through faith. And I pray that you, being rooted and established in love, may have power, together with all the Lord's holy people, to grasp how wide and long and high and deep is the love of Christ.",Grasp His Love
Love,1 Peter 4:8,"Above all, love each other deeply, because love covers over a multitude of sins.",Love Deeply
Love,Zephaniah 3:17,"The Lord your God is with you, the Mighty Warrior who saves. He will take great delight in you; in his love he will no longer rebuke you, but will rejoice over you with singing.",He Delights In You
Love,Jeremiah 31:3,"The Lord appeared to us in the past, saying: 'I have loved you with an everlasting love; I have drawn you with unfailing kindness.'",Everlasting Love
Love,1 John 3:1,"See what great love the Father has lavished on us, that we should be called children of God! And that is what we are!",You Are His Child
Strength,Isaiah 41:10,"So do not fear, for I am with you; do not be dismayed, for I am your God. I will strengthen you and help you; I will uphold you with my righteous right hand.",Be Strengthened Today
Strength,Philippians 4:13,"I can do all this through him who gives me strength.",Do All Things
Strength,Psalm 46:1,"God is our refuge and strength, an ever-present help in trouble.",Find Your Refuge
Strength,Isaiah 40:31,"But those who hope in the Lord will renew their strength. They will soar on wings like eagles; they will run and not grow weary, they will walk and not be faint.",Renew Your Strength
Strength,2 Timothy 1:7,"For the Spirit God gave us does not make us timid, but gives us power, love and self-discipline.",Receive Power Today
Strength,Nehemiah 8:10,"Do not grieve, for the joy of the Lord is your strength.",Find Joy And Strength
Strength,Psalm 28:7,"The Lord is my strength and my shield; my heart trusts in him, and he helps me.",Trust And Be Helped
Strength,Ephesians 6:10,"Finally, be strong in the Lord and in his mighty power.",Be Strong In Him
Strength,2 Corinthians 12:9,"But he said to me, 'My grace is sufficient for you, for my power is made perfect in weakness.' Therefore I will boast all the more gladly about my weaknesses, so that Christ's power may rest on me.",Grace Is Sufficient
Strength,Deuteronomy 31:6,"Be strong and courageous. Do not be afraid or terrified because of them, for the Lord your God goes with you; he will never leave you nor forsake you.",He Never Leaves You
Wisdom,James 1:5,"If any of you lacks wisdom, you should ask God, who gives generously to all without finding fault, and it will be given to you.",Ask For Wisdom
Wisdom,Proverbs 3:5-6,"Trust in the Lord with all your heart and lean not on your own understanding; in all your ways submit to him, and he will make your paths straight.",Trust Completely
Wisdom,Proverbs 2:6,"For the Lord gives wisdom; from his mouth come knowledge and understanding.",Receive Understanding
Wisdom,Colossians 3:16,"Let the message of Christ dwell among you richly as you teach and admonish one another with all wisdom through psalms, hymns, and songs from the Spirit, singing to God with gratitude in your hearts.",Let Christ Dwell
Wisdom,Proverbs 4:7,"The beginning of wisdom is this: Get wisdom. Though it cost all you have, get understanding.",Get Wisdom Today
Wisdom,Ecclesiastes 7:12,"Wisdom is a shelter as money is a shelter, but the advantage of knowledge is this: Wisdom preserves those who have it.",Preserve Your Life
Wisdom,Proverbs 16:16,"How much better to get wisdom than gold, to get insight rather than silver!",Better Than Gold
Wisdom,Psalm 111:10,"The fear of the Lord is the beginning of wisdom; all who follow his precepts have good understanding. To him belongs eternal praise!",Begin With Reverence
Wisdom,Proverbs 19:20,"Listen to advice and accept discipline, and at the end you will be counted among the wise.",Accept Discipline
Wisdom,1 Corinthians 1:25,"For the foolishness of God is wiser than human wisdom, and the weakness of God is stronger than human strength.",Trust Divine Wisdom
Prayer,Matthew 7:7,"Ask and it will be given to you; seek and you will find; knock and the door will be opened to you.",Ask Seek Knock
Prayer,1 Thessalonians 5:17,"Pray continually.",Pray Without Ceasing
Prayer,Jeremiah 33:3,"Call to me and I will answer you and tell you great and unsearchable things you do not know.",Call On Him Today
Prayer,Matthew 21:22,"If you believe, you will receive whatever you ask for in prayer.",Believe And Receive
Prayer,1 John 5:14-15,"This is the confidence we have in approaching God: that if we ask anything according to his will, he hears us. And if we know that he hears us—whatever we ask—we know that we have what we asked of him.",Pray With Confidence
Prayer,Psalm 145:18,"The Lord is near to all who call on him, to all who call on him in truth.",Draw Near To God
Prayer,Romans 8:26,"In the same way, the Spirit helps us in our weakness. We do not know what we ought to pray for, but the Spirit himself intercedes for us through wordless groans.",Let The Spirit Help
Prayer,James 5:16,"Therefore confess your sins to each other and pray for each other so that you may be healed. The prayer of a righteous person is powerful and effective.",Pray Powerfully
Prayer,Philippians 4:6,"Do not be anxious about anything, but in every situation, by prayer and petition, with thanksgiving, present your requests to God.",Present Your Requests
Prayer,Psalm 55:17,"Evening, morning and noon I cry out in distress, and he hears my voice.",He Hears Your Voice
Purpose,Ephesians 2:10,"For we are God's handiwork, created in Christ Jesus to do good works, which God prepared in advance for us to do.",Discover Your Works
Purpose,Romans 8:28,"And we know that in all things God works for the good of those who love him, who have been called according to his purpose.",Embrace Your Calling
Purpose,Proverbs 19:21,"Many are the plans in a person's heart, but it is the Lord's purpose that prevails.",Align With His Purpose
Purpose,Jeremiah 1:5,"Before I formed you in the womb I knew you, before you were born I set you apart; I appointed you as a prophet to the nations.",You Are Set Apart
Purpose,1 Peter 2:9,"But you are a chosen people, a royal priesthood, a holy nation, God's special possession, that you may declare the praises of him who called you out of darkness into his wonderful light.",You Are Chosen
Purpose,Psalm 138:8,"The Lord will vindicate me; your love, Lord, endures forever—do not abandon the works of your hands.",He Will Complete You
Purpose,Philippians 1:6,"Being confident of this, that he who began a good work in you will carry it on to completion until the day of Christ Jesus.",He Will Complete It
Purpose,Isaiah 43:7,"Everyone who is called by my name, whom I created for my glory, whom I formed and made.",Created For Glory
Purpose,Colossians 1:16,"For in him all things were created: things in heaven and on earth, visible and invisible, whether thrones or powers or rulers or authorities; all things have been created through him and for him.",Created For Him
Purpose,2 Timothy 1:9,"He has saved us and called us to a holy life—not because of anything we have done but because of his own purpose and grace. This grace was given us in Christ Jesus before the beginning of time.",Called To Holy Life
